gsis_id,gamekey,start_time,week,day_of_week,season_year,season_type,finished,home_team,home_score,home_score_q1,home_score_q2,home_score_q3,home_score_q4,home_score_q5,home_turnovers,away_team,away_score,away_score_q1,away_score_q2,away_score_q3,away_score_q4,away_score_q5,away_turnovers,time_inserted,time_updated
2014122106,56403,2014-12-21 13:00:00-05,16,Sunday,2014,Regular,t,PIT,20,3,7,7,3,0,0,KC,12,3,3,0,6,0,0,2014-07-24 17:32:41.702371-04,2014-12-24 02:59:45.135816-05
2015102500,56595,2015-10-25 09:30:00-04,7,Sunday,2015,Regular,t,JAC,34,0,27,0,7,0,1,BUF,31,3,10,0,18,0,0,2015-10-25 19:28:34.570797-04,2015-10-28 02:59:49.506824-04
2014122107,56404,2014-12-21 13:00:00-05,16,Sunday,2014,Regular,t,TB,3,0,3,0,0,0,2,GB,20,7,3,0,10,0,2,2014-07-24 17:32:41.702371-04,2014-12-24 02:59:45.135816-05
2014122108,56405,2014-12-21 16:05:00-05,16,Sunday,2014,Regular,t,STL,27,3,10,7,7,0,0,NYG,37,10,10,14,3,0,1,2014-07-24 17:32:41.702371-04,2014-12-24 02:59:45.135816-05
2014122109,56406,2014-12-21 16:25:00-05,16,Sunday,2014,Regular,t,DAL,42,14,14,7,7,0,3,IND,7,0,0,0,7,0,2,2014-07-24 17:32:41.702371-04,2014-12-24 02:59:45.135816-05
2014122110,56407,2014-12-21 16:25:00-05,16,Sunday,2014,Regular,t,OAK,26,0,13,6,7,0,0,BUF,24,7,3,0,14,0,0,2014-07-24 17:32:41.702371-04,2014-12-24 02:59:45.135816-05
2009081452,54730,2009-08-14 20:00:00-04,1,Friday,2009,Preseason,t,NO,17,0,7,7,3,0,1,CIN,7,0,7,0,0,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2015111502,56641,2015-11-15 13:00:00-05,10,Sunday,2015,Regular,t,TB,10,0,3,0,7,0,3,DAL,6,3,3,0,0,0,0,2015-05-22 17:54:43.143038-04,2015-11-18 02:59:48.691926-05
2015010300,56491,2015-01-03 16:35:00-05,1,Saturday,2014,Postseason,t,CAR,27,10,3,14,0,0,0,ARI,16,0,14,0,2,0,0,2015-01-01 11:12:02.579984-05,2015-01-05 17:52:20.414836-05
2015091311,56515,2015-09-13 16:25:00-04,1,Sunday,2015,Regular,t,TB,14,0,7,0,7,0,2,TEN,42,21,14,7,0,0,1,2015-05-22 17:54:43.143038-04,2015-09-16 02:59:37.48265-04
